id,data,time
22032,804,2023-10-20 10:31:53.331264
22033,804,2023-10-20 10:31:53.910327
22034,804,2023-10-20 10:31:54.910258
22035,938,2023-10-20 10:31:55.331257
22036,938,2023-10-20 10:31:56.331256
22037,938,2023-10-20 10:31:56.910273
22038,911,2023-10-20 10:31:57.910275
22039,911,2023-10-20 10:31:58.331266
22040,874,2023-10-20 10:31:59.331273
22041,874,2023-10-20 10:31:59.910272
22042,874,2023-10-20 10:32:00.910280
22043,853,2023-10-20 10:32:01.331259
22044,853,2023-10-20 10:32:02.331273
22045,853,2023-10-20 10:32:02.910289
22046,869,2023-10-20 10:32:03.910352
22047,869,2023-10-20 10:32:04.331288
22048,606,2023-10-20 10:32:05.331329
22049,606,2023-10-20 10:32:05.910914
22050,606,2023-10-20 10:32:06.910288
22051,823,2023-10-20 10:32:07.331512
22052,823,2023-10-20 10:32:08.331291
22053,823,2023-10-20 10:32:08.910292
22054,835,2023-10-20 10:32:09.910299
22055,835,2023-10-20 10:32:10.332425
22056,856,2023-10-20 10:32:11.331266
22057,856,2023-10-20 10:32:11.910279
22058,856,2023-10-20 10:32:12.910274
22059,845,2023-10-20 10:32:13.331344
22060,845,2023-10-20 10:32:14.332300
22061,845,2023-10-20 10:32:14.910288
22062,853,2023-10-20 10:32:15.910277
22063,853,2023-10-20 10:32:16.331335
22064,860,2023-10-20 10:32:17.331288
22065,860,2023-10-20 10:32:17.910268
22066,860,2023-10-20 10:32:18.910385
22067,836,2023-10-20 10:32:19.331288
22068,836,2023-10-20 10:32:20.331296
22069,836,2023-10-20 10:32:20.910296
22070,822,2023-10-20 10:32:21.910301
22071,822,2023-10-20 10:32:22.331304
22072,816,2023-10-20 10:32:23.331346
22073,816,2023-10-20 10:32:23.910331
22074,816,2023-10-20 10:32:24.910306
22075,824,2023-10-20 10:32:25.331429
22076,824,2023-10-20 10:32:26.331279
22077,824,2023-10-20 10:32:26.910874
22078,857,2023-10-20 10:32:27.910280
22079,857,2023-10-20 10:32:28.331290
22080,787,2023-10-20 10:32:29.331289
22081,787,2023-10-20 10:32:29.910287
22082,787,2023-10-20 10:32:30.910299
22083,764,2023-10-20 10:32:31.331289
22084,764,2023-10-20 10:32:32.331316
22085,764,2023-10-20 10:32:32.910280
22086,800,2023-10-20 10:32:33.910444
22087,800,2023-10-20 10:32:34.332289
22088,800,2023-10-20 10:32:35.331287
22089,800,2023-10-20 10:32:35.910285
22090,800,2023-10-20 10:32:36.910290
22091,773,2023-10-20 10:32:37.331295
22092,773,2023-10-20 10:32:38.331375
22093,773,2023-10-20 10:32:38.910307
22094,748,2023-10-20 10:32:39.910296
22095,748,2023-10-20 10:32:40.336885
22096,744,2023-10-20 10:32:41.331349
22097,744,2023-10-20 10:32:41.910300
22098,744,2023-10-20 10:32:42.910290
22099,732,2023-10-20 10:32:43.331297
22100,732,2023-10-20 10:32:44.331347
22101,732,2023-10-20 10:32:44.910312
22102,727,2023-10-20 10:32:45.910401
22103,727,2023-10-20 10:32:46.331289
22104,743,2023-10-20 10:32:47.331324
22105,743,2023-10-20 10:32:47.910571
22106,743,2023-10-20 10:32:48.910307
22107,738,2023-10-20 10:32:49.331299
22108,738,2023-10-20 10:32:50.331318
22109,738,2023-10-20 10:32:50.910313
22110,708,2023-10-20 10:32:51.910311
22111,708,2023-10-20 10:32:52.331298
22112,731,2023-10-20 10:32:53.331301
22113,731,2023-10-20 10:32:53.910305
22114,731,2023-10-20 10:32:54.910296
22115,692,2023-10-20 10:32:55.331297
22116,692,2023-10-20 10:32:56.331300
22117,692,2023-10-20 10:32:56.910294
22118,675,2023-10-20 10:32:57.910316
22119,675,2023-10-20 10:32:58.331867
22120,719,2023-10-20 10:32:59.331300
22121,719,2023-10-20 10:32:59.910316
22122,719,2023-10-20 10:33:00.910315
22123,673,2023-10-20 10:33:01.331320
22124,673,2023-10-20 10:33:02.331458
22125,673,2023-10-20 10:33:02.910313
22126,693,2023-10-20 10:33:03.910317
22127,693,2023-10-20 10:33:04.331317
22128,644,2023-10-20 10:33:05.331307
22129,644,2023-10-20 10:33:05.910297
22130,644,2023-10-20 10:33:06.910313
22131,658,2023-10-20 10:33:07.331300
22132,658,2023-10-20 10:33:08.331336
22133,658,2023-10-20 10:33:08.910963
22134,703,2023-10-20 10:33:09.910298
22135,703,2023-10-20 10:33:10.331343
22136,632,2023-10-20 10:33:11.331305
22137,632,2023-10-20 10:33:11.910320
22138,632,2023-10-20 10:33:12.910318
22139,631,2023-10-20 10:33:13.331322
22140,631,2023-10-20 10:33:14.331331
22141,631,2023-10-20 10:33:14.910332
22142,615,2023-10-20 10:33:15.910315
22143,615,2023-10-20 10:33:16.331302
22144,626,2023-10-20 10:33:17.331302
22145,626,2023-10-20 10:33:17.910305
22146,626,2023-10-20 10:33:18.910319
22147,628,2023-10-20 10:33:19.332317
22148,628,2023-10-20 10:33:20.331317
22149,628,2023-10-20 10:33:20.910326
22150,604,2023-10-20 10:33:21.910320
22151,604,2023-10-20 10:33:22.331325
22152,585,2023-10-20 10:33:23.331319
22153,585,2023-10-20 10:33:23.910313
22154,585,2023-10-20 10:33:24.910310
22155,588,2023-10-20 10:33:25.331337
22156,588,2023-10-20 10:33:26.331305
22157,588,2023-10-20 10:33:26.910301
22158,590,2023-10-20 10:33:27.910316
22159,590,2023-10-20 10:33:28.331329
22160,590,2023-10-20 10:33:29.331329
22161,590,2023-10-20 10:33:29.910963
22162,590,2023-10-20 10:33:30.910321
22163,578,2023-10-20 10:33:31.331319
22164,578,2023-10-20 10:33:32.331337
22165,578,2023-10-20 10:33:32.910315
22166,580,2023-10-20 10:33:33.910312
22167,580,2023-10-20 10:33:34.333386
22168,561,2023-10-20 10:33:35.332416
22169,561,2023-10-20 10:33:35.910308
22170,561,2023-10-20 10:33:36.910318
22171,545,2023-10-20 10:33:37.331316
22172,545,2023-10-20 10:33:38.331332
22173,545,2023-10-20 10:33:38.910335
